SiteID,Lat,Lon,Elev,Aspect,Slope,SWC.Max,Wind,Snowpack.Init,Soil.Init,Shade.Coeff
1,37.25274466,-77.35517161,150,299.2293701,1.2390497,298.6600037,5,0,0,1
2,37.25049437,-77.36233653,150,-1,0,0,5,0,0,1
3,37.24813332,-77.34194325,150,125.7091827,0.5823724,0,5,0,0,1
4,37.24853905,-77.33879586,150,218.0553741,0.4508669,0,5,0,0,1
5,37.24884612,-77.33068661,150,15.3880529,0.5047412,0,5,0,0,1
6,37.24309198,-77.36927821,150,32.9648933,4.2804055,211.5099945,5,0,0,1
7,37.23271681,-77.36630165,150,129.9217072,1.4919664,211.5099945,5,0,0,1
8,37.23726827,-77.35098053,150,65.7159119,1.7886705,179.6799927,5,0,0,1
9,37.2307773,-77.34239432,150,158.2748108,0.9651225,0,5,0,0,1
10,37.21561873,-77.36349435,150,76.8124008,0.7559487,158.7599945,5,0,0,1
